_id,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
6525f3fe35c39ef20d615add,25216,1064,817,1,3,10,11,11,11,0,71,\N,\N,59,11,1:14.920,204.65,11,2021
6525f3fe35c39ef20d615ade,25217,1064,840,117,18,12,12,12,12,0,70,\N,\N,57,15,1:15.611,202.78,12,2021
6525f3fe35c39ef20d615adf,25218,1064,20,117,5,15,13,13,13,0,70,\N,\N,63,5,1:13.958,207.312,12,2021
6525f3fe35c39ef20d615ae0,25219,1064,841,51,99,7,14,14,14,0,70,\N,\N,66,12,1:15.125,204.091,12,2021
6525f3fe35c39ef20d615ae1,25220,1064,9,51,88,16,15,15,15,0,70,\N,\N,44,14,1:15.442,203.234,12,2021
6525f3fe35c39ef20d615ae2,25221,1064,849,3,6,0,16,16,16,0,70,\N,\N,25,18,1:15.790,202.301,12,2021
6525f3fe35c39ef20d615ae3,25222,1064,847,3,63,11,17,17,17,0,69,\N,\N,57,16,1:15.628,202.734,6,2021
6525f3fe35c39ef20d615ae4,25223,1064,854,210,47,17,18,18,18,0,69,\N,\N,36,19,1:15.927,201.936,13,2021
6525f3fe35c39ef20d615ae5,25224,1064,852,213,22,14,\N,R,19,0,48,\N,\N,44,17,1:15.783,202.319,131,2021
6525f3fe35c39ef20d615ae6,25225,1064,853,210,9,18,\N,R,20,0,41,\N,\N,35,20,1:16.066,201.567,9,2021
6525f3fe35c39ef20d615ae7,25226,1065,817,1,3,2,1,1,1,26,53,1:21:54.365,4914365,53,1,1:24.812,245.894,1,2021
6525f3fe35c39ef20d615ae8,25227,1065,846,1,4,3,2,2,2,18,53,+1.747,4916112,53,3,1:24.971,245.434,1,2021
6525f3fe35c39ef20d615ae9,25228,1065,822,131,77,19,3,3,3,15,53,+4.921,4919286,34,2,1:24.827,245.85,1,2021
6525f3fe35c39ef20d615aea,25229,1065,844,6,16,5,4,4,4,12,53,+7.309,4921674,53,6,1:25.319,244.433,1,2021
6525f3fe35c39ef20d615aeb,25230,1065,815,9,11,8,5,5,5,10,53,+8.723,4923088,53,4,1:25.156,244.901,1,2021
6525f3fe35c39ef20d615aec,25231,1065,832,6,55,6,6,6,6,8,53,+10.535,4924900,53,8,1:25.559,243.747,1,2021
6525f3fe35c39ef20d615aed,25232,1065,840,117,18,9,7,7,7,6,53,+15.804,4930169,52,13,1:25.853,242.912,1,2021
6525f3fe35c39ef20d615aee,25233,1065,4,214,14,10,8,8,8,4,53,+17.201,4931566,52,7,1:25.472,243.995,1,2021
6525f3fe35c39ef20d615aef,25234,1065,847,3,63,14,9,9,9,2,53,+19.742,4934107,53,11,1:25.835,242.963,1,2021
6525f3fe35c39ef20d615af0,25235,1065,839,214,31,12,10,10,10,1,53,+20.868,4935233,53,9,1:25.566,243.727,1,2021
6525f3fe35c39ef20d615af1,25236,1065,849,3,6,13,11,11,11,0,53,+23.743,4938108,50,16,1:25.953,242.63,1,2021
6525f3fe35c39ef20d615af2,25237,1065,20,117,5,11,12,12,12,0,53,+24.621,4938986,50,15,1:25.938,242.672,1,2021
6525f3fe35c39ef20d615af3,25238,1065,841,51,99,7,13,13,13,0,53,+27.216,4941581,50,10,1:25.718,243.295,1,2021
